MODELYEAR,MAKE,MODEL,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,CO2EMISSIONS
2014,ACURA,ILX,2,4,9.9,196
2014,ACURA,ILX,2.4,4,11.2,221
2014,ACURA,ILX HYBRID,1.5,4,6,136
2014,ACURA,MDX 4WD,3.5,6,12.7,255
2014,ACURA,RDX AWD,3.5,6,12.1,244
2014,ACURA,RLX,3.5,6,11.9,230
2014,ACURA,TL,3.5,6,11.8,232
2014,ACURA,TL AWD,3.7,6,12.8,255
2014,ACURA,TL AWD,3.7,6,13.4,267
2014,ACURA,TSX,2.4,4,10.6,212
2014,ACURA,TSX,2.4,4,11.2,225
2014,ACURA,TSX,3.5,6,12.1,239
2014,ASTON MARTIN,DB9,5.9,12,18,359
2014,ASTON MARTIN,RAPIDE,5.9,12,18,359
2014,ASTON MARTIN,V8 VANTAGE,4.7,8,17.4,338
2014,ASTON MARTIN,V8 VANTAGE,4.7,8,18.1,354
2014,ASTON MARTIN,V8 VANTAGE S,4.7,8,17.4,338
2014,ASTON MARTIN,V8 VANTAGE S,4.7,8,18.1,354
2014,ASTON MARTIN,VANQUISH,5.9,12,18,359
2014,AUDI,A4,2,4,9.9,202
2014,AUDI,A4 QUATTRO,2,4,11.5,230
2014,AUDI,A4 QUATTRO,2,4,10.8,214
2014,AUDI,A5 CABRIOLET QUATTRO,2,4,11.5,230
2014,AUDI,A5 QUATTRO,2,4,11.5,230
2014,AUDI,A5 QUATTRO,2,4,10.8,214
2014,AUDI,A6 QUATTRO,2,4,12,235
2014,AUDI,A6 QUATTRO,3,6,12.8,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,3,6,9.8,224
2014,AUDI,A7 QUATTRO,3,6,13.1,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,3,6,9.8,224
2014,AUDI,A8,3,6,13.1,258
2014,AUDI,A8,4,8,13.5,260
2014,AUDI,A8 TDI CLEAN DIESEL,3,6,10,227
2014,AUDI,A8L,3,6,13.1,258
2014,AUDI,A8L,4,8,14.7,288
2014,AUDI,A8L,6.3,12,18.2,361
2014,AUDI,A8L TDI CLEAN DIESEL,3,6,10.1,230
2014,AUDI,ALLROAD QUATTRO,2,4,11.8,242
2014,AUDI,Q5,2,4,12,239
2014,AUDI,Q5,3,6,12.9,258
2014,AUDI,Q5 HYBRID,2,4,9.9,212
2014,AUDI,Q5 TDI CLEAN DIESEL,3,6,10.3,246
2014,AUDI,Q7,3,6,15.1,304
2014,AUDI,Q7 TDI CLEAN DIESEL,3,6,12.9,294
2014,AUDI,R8,4.2,8,17.6,336
2014,AUDI,R8,4.2,8,21.2,407
2014,AUDI,R8,5.2,10,18.8,354
2014,AUDI,R8,5.2,10,21.1,409
2014,AUDI,R8 SPYDER,4.2,8,17.6,336
2014,AUDI,R8 SPYDER,4.2,8,21.2,407
2014,AUDI,R8 SPYDER,5.2,10,18.8,354
2014,AUDI,R8 SPYDER,5.2,10,21.1,409
2014,AUDI,RS5,4.2,8,15.3,306
2014,AUDI,RS5 CABRIOLET,4.2,8,15.2,308
2014,AUDI,RS7,4,8,15.3,290
2014,AUDI,S4,3,6,13.2,262
2014,AUDI,S4,3,6,14.6,285
2014,AUDI,S5,3,6,13.2,262
2014,AUDI,S5,3,6,14.6,285
2014,AUDI,S5 CABRIOLET,3,6,13.3,267
2014,AUDI,S6,4,8,14.2,281
2014,AUDI,S7,4,8,14.2,281
2014,AUDI,S8,4,8,15.4,297
2014,AUDI,SQ5,3,6,14.9,292
2014,AUDI,TT COUPE QUATTRO,2,4,10.4,209
2014,AUDI,TT ROADSTER QUATTRO,2,4,10.4,209
2014,AUDI,TTS COUPE QUATTRO,2,4,11.5,237
2014,AUDI,TTS ROADSTER QUATTRO,2,4,11.5,237
2014,BENTLEY,CONTINENTAL GT,4,8,15.4,297
2014,BENTLEY,CONTINENTAL GT,6,12,18.8,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,4,8,16.8,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,6,12,20,380
2014,BENTLEY,CONTINENTAL GTC,4,8,16.7,322
2014,BENTLEY,CONTINENTAL GTC,6,12,20,380
2014,BENTLEY,FLYING SPUR,6,12,20,380
2014,BENTLEY,MULSANNE,6.8,8,22.3,437
2014,BMW,320i,2,4,10,193
2014,BMW,320i,2,4,10.4,200
2014,BMW,320i xDRIVE,2,4,10.2,202
2014,BMW,328d xDRIVE,2,4,7.6,181
2014,BMW,328d xDRIVE TOURING,2,4,7.6,181
2014,BMW,328i,2,4,10,193
2014,BMW,328i,2,4,10.4,200
2014,BMW,328i xDRIVE,2,4,10.6,209
2014,BMW,328i xDRIVE GRAN TURISMO,2,4,10.6,209
2014,BMW,328i xDRIVE TOURING,2,4,10.6,209
2014,BMW,335i,3,6,11.4,221
2014,BMW,335i,3,6,11.8,230
2014,BMW,335i xDRIVE,3,6,11.7,228
2014,BMW,335i xDRIVE,3,6,11.9,237
2014,BMW,335i xDRIVE GRAN TURISMO,3,6,11.9,232
2014,BMW,428i COUPE,2,4,10,193
2014,BMW,428i COUPE,2,4,10.4,200
2014,BMW,428i xDRIVE COUPE,2,4,10.6,209
2014,BMW,435i COUPE,3,6,11.4,221
2014,BMW,435i COUPE,3,6,11.8,230
2014,BMW,435i xDRIVE COUPE,3,6,11.7,228
2014,BMW,435i xDRIVE COUPE,3,6,11.9,237
2014,BMW,528i,2,4,10.2,202
